children,year_last_moved,Average Credit Card Transaction,Balance Transfer,Term Deposit,Life Insurance,Medical Insurance,Average A/C Balance,Personal Loan,Investment in Mutual Fund,Investment Tax Saving Bond,Home Loan,Online Purchase Amount,Investment in Commudity,Investment in Equity,Investment in Derivative,Portfolio Balance,ab_10,ab_11,ab_13,ab_17,ab_9,st_partner,st_singleNm,st_divSep,oc_10,oc_11,oc_12,ocp_10,ocp_12,hs_own,gender_f,semp_yes,semp_part_yes,fi
2,1993,59.72,6.99,63.34,24.43,60.45,29.99,2.0,72.92,42.59,12.48,78.9,42.99,39.81,38.73,103.84,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.25
2,1991,0.0,4.99,0.0,8.99,0.0,0.0,16.28,0.0,7.98,0.0,0.0,2.8,4.04,5.54,19.7,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,35.0
0,1998,17.48,0.0,29.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,0.0,0.0,8.89,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,9.0
1,1992,0.0,0.51,0.0,13.99,30.0,47.97,43.47,21.99,0.0,0.0,0.0,8.9,18.91,26.24,6.29,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,26.25
0,1987,0.0,22.99,0.0,0.0,26.46,21.48,15.99,7.48,0.0,0.0,0.0,9.89,7.49,11.9,-1.58,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,26.25
2,1996,0.0,0.0,0.0,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,7.25,-3.53,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21.25
1,1978,30.97,0.0,77.47,75.96,46.98,35.97,7.19,37.46,10.99,38.9,0.0,46.28,21.75,35.76,78.16,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,26.25
0,1978,6.99,0.0,0.0,40.96,0.0,7.99,0.0,13.49,3.49,1.49,0.0,9.59,4.41,10.99,1.29,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,21.25
0,1995,144.97,0.0,0.0,123.9,115.88,76.94,0.0,92.91,4.99,4.22,12.96,76.95,32.0,69.1,165.99,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6.0
0,1998,20.0,6.89,0.0,32.39,103.43,33.47,0.0,33.45,14.98,15.97,0.0,32.54,16.31,36.29,91.37,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,21.25
0,1968,155.46,34.49,0.0,79.94,22.97,0.0,0.0,59.47,0.0,0.0,37.97,58.57,16.24,27.06,83.3,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,9.0
0,1999,19.99,0.0,54.48,0.0,0.0,0.0,42.98,0.0,0.0,0.0,0.0,14.89,7.16,7.16,43.92,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,35.0
0,1986,0.0,0.54,33.95,60.44,70.94,72.94,0.0,104.4,0.0,0.0,0.0,33.17,29.56,51.45,103.17,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,18.75
0,1962,0.0,148.94,0.0,150.4,42.43,45.94,0.0,53.97,29.49,2.24,0.0,68.35,21.94,53.71,179.64,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,4.0
1,1986,0.0,0.0,0.0,69.97,0.0,0.0,55.94,7.99,0.0,0.0,0.0,13.99,10.66,22.32,87.16,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,28.75
0,1997,0.0,0.0,0.0,0.0,0.0,0.0,8.49,0.0,0.0,9.99,0.0,0.0,3.08,1.42,8.46,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,13.75
0,1964,0.0,39.98,24.99,24.99,0.0,0.0,0.0,88.94,0.0,0.0,0.0,17.99,14.82,18.99,50.54,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,13.75
3,1995,0.0,94.98,0.0,29.48,0.0,71.95,0.0,53.96,0.0,9.98,0.0,24.89,22.65,25.9,34.71,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,13.75
1,1977,0.0,24.99,19.99,83.42,9.48,169.18,42.93,343.23,13.47,9.99,0.0,27.58,96.47,110.29,237.48,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,9.0
0,1996,23.98,573.4,35.44,367.66,7.5,233.71,661.91,10.9,90.81,25.46,175.34,201.6,199.69,228.75,608.5,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,26.25
0,1989,0.0,0.0,0.0,0.0,0.0,7.99,0.0,19.99,0.0,5.48,0.0,0.0,5.58,4.66,-24.61,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,9.0
0,1985,0.0,0.0,0.0,22.99,0.0,0.0,0.0,32.96,0.0,0.0,0.0,4.6,5.49,9.33,33.51,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,6.0
0,1990,0.0,69.97,0.0,124.96,41.47,92.9,18.48,120.92,0.0,9.99,0.0,47.28,40.38,66.46,106.41,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,35.0
0,1993,0.0,0.0,0.0,17.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.92,-9.29,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4.0
0,1979,105.45,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.29,0.0,4.67,40.53,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,28.75
0,1994,29.99,43.97,0.0,4.54,15.99,134.96,0.0,64.93,1.0,3.99,0.0,18.9,34.15,36.9,100.51,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,35.0
2,1986,0.0,0.0,0.0,0.0,59.0,15.97,0.0,279.29,0.0,0.0,0.0,11.8,49.21,59.04,124.07,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,16.25
2,1992,0.0,0.0,0.02,0.0,11.99,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.0,45.63,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,26.25
1,1996,0.0,0.0,0.0,193.92,0.0,35.48,0.0,0.0,1.0,0.0,0.0,38.78,6.08,38.4,61.42,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,23.75
0,1997,62.95,52.96,118.97,369.34,152.9,43.41,131.23,105.94,16.95,4.49,6.49,151.42,51.42,136.63,352.86,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,35.0
1,1998,0.0,128.96,0.0,17.99,0.0,47.38,9.99,11.48,19.97,31.69,0.0,29.39,20.09,17.8,85.42,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,35.0
0,1983,17.99,48.97,0.0,44.96,0.0,43.47,13.49,141.0,2.99,0.0,19.47,22.38,36.74,40.99,95.71,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,26.25
0,1997,0.0,33.96,0.0,28.98,0.0,1.99,0.0,7.99,0.0,0.0,0.0,12.59,1.66,6.49,41.96,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,28.75
3,1997,88.43,98.95,102.28,158.33,48.66,172.4,11.98,7.48,4.0,22.02,150.91,99.33,61.47,67.14,260.93,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,23.75
3,1991,19.99,169.94,0.0,7.47,0.0,49.47,0.0,26.48,16.98,29.7,20.46,39.48,23.85,16.73,36.51,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,21.25
1,1991,39.97,27.48,79.46,507.75,80.89,64.93,297.77,105.88,52.44,0.0,23.99,147.11,90.84,184.94,370.78,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,35.0
1,1985,0.0,74.47,51.23,205.4,2.99,82.46,17.99,39.96,1.0,10.73,5.49,66.82,26.27,58.3,159.73,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,16.25
0,1998,0.0,0.0,0.0,23.99,0.0,0.0,0.51,21.98,1.0,0.0,0.0,4.8,3.92,7.91,32.21,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,35.0
0,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.44,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,35.0
0,1998,0.0,0.0,0.0,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,4.08,20.01,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,21.25
0,1984,0.0,0.0,14.99,88.47,14.97,132.41,25.48,11.48,0.0,0.0,0.0,23.69,28.23,45.47,115.13,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,9.0
1,1977,34.49,34.98,0.0,153.39,25.48,40.45,6.99,23.98,3.98,0.0,0.0,49.67,12.57,42.38,45.66,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,35.0
0,1989,0.0,0.0,0.0,55.98,0.0,3.49,0.0,201.39,0.0,14.98,0.0,11.2,36.64,43.48,102.7,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,4.0
3,1982,0.0,86.97,0.0,45.97,0.0,54.49,0.0,0.0,0.0,0.0,0.0,26.59,9.08,16.74,86.55,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,35.0
0,1981,0.0,0.0,24.99,25.49,40.44,8.98,0.0,23.99,38.47,0.0,0.0,18.18,11.91,22.9,68.2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,18.75
0,1998,76.96,70.96,0.0,15.49,7.49,22.48,0.0,43.47,0.0,0.0,31.99,34.18,16.32,14.82,34.87,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,9.0
0,1994,31.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,2.28,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,4.0
1,1968,0.0,0.0,29.98,34.99,0.0,0.0,29.49,33.97,0.0,0.0,0.0,12.99,10.58,16.41,30.98,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,26.25
0,1993,0.0,25.0,24.99,22.42,0.0,0.0,0.0,21.97,0.0,0.0,0.0,14.48,3.66,7.4,59.14,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,35.0
0,1971,24.99,104.48,14.99,39.97,24.97,38.98,14.49,31.98,0.0,0.0,0.0,41.88,14.24,25.07,122.72,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,18.75
0,1963,0.0,0.0,0.0,0.0,0.0,0.0,197.85,0.0,0.0,0.0,0.0,0.0,32.98,32.98,51.3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,18.75
0,1992,0.0,0.0,0.0,0.0,0.0,4.48,0.0,9.49,19.99,4.99,0.0,0.0,6.49,5.66,-36.2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,35.0
0,1987,0.0,60.98,0.0,22.49,0.0,37.46,0.0,0.51,0.0,0.0,0.0,16.69,6.33,10.08,42.32,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,6.0
0,1996,0.0,118.94,0.0,239.88,0.0,24.99,76.9,0.0,6.0,0.0,0.0,71.76,17.98,57.96,172.81,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,26.25
1,1984,0.0,0.0,0.0,0.0,0.0,5.99,47.47,161.9,0.0,0.0,12.99,0.0,38.06,35.89,83.01,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,26.25
0,1957,260.89,23.97,26.98,0.0,235.38,0.0,0.0,0.0,0.0,0.0,0.0,109.44,0.0,39.23,139.87,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,9.0
0,1968,0.0,44.99,6.49,0.0,0.0,0.0,59.69,0.0,4.49,0.0,0.0,10.3,10.7,10.7,57.57,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,28.75
0,1992,0.0,0.0,0.0,89.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.89,0.0,14.91,32.0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,21.25
1,1998,0.0,238.82,0.0,795.79,0.0,226.27,47.97,522.58,55.95,21.48,37.48,206.92,151.96,274.76,611.62,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,35.0
0,1998,98.97,179.46,79.47,112.93,114.88,0.0,0.0,36.97,0.0,0.0,15.98,117.14,8.83,44.13,154.23,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,9.0
0,1991,19.98,0.0,19.98,45.48,75.94,62.93,0.0,61.42,29.98,0.0,0.0,32.28,25.72,45.96,102.58,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,11.25
0,1976,4.47,30.96,137.41,47.38,59.45,26.47,0.0,7.49,0.0,0.0,0.0,55.93,5.66,23.47,162.7,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,23.75
0,1968,0.0,139.92,9.98,143.9,33.46,6.99,0.0,21.85,16.45,0.0,29.98,65.45,12.55,37.11,113.53,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,23.75
1,1990,0.0,54.48,0.0,0.0,0.0,0.0,86.53,11.99,0.0,0.0,3.99,10.9,17.09,16.42,-7.2,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,26.25
0,1966,11.49,69.98,148.43,200.36,29.46,138.47,193.73,77.11,5.47,0.0,21.99,91.94,72.8,107.43,282.56,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,9.0
2,1989,0.0,0.0,0.0,17.99,0.0,0.0,18.98,19.98,0.0,0.0,0.0,3.6,6.49,9.49,53.73,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,28.75
1,1998,0.0,29.49,12.47,29.99,0.0,34.45,113.85,61.95,7.99,0.0,0.0,14.39,36.37,41.37,55.16,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,26.25
2,1994,0.0,92.44,0.0,2.95,0.0,49.48,4.99,121.46,29.99,9.72,50.66,19.08,44.38,34.81,102.7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,23.75
2,1996,11.99,129.45,42.48,250.84,9.99,99.34,12.49,83.42,2.99,12.47,49.4,88.95,43.35,76.51,250.84,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,35.0
0,1970,119.98,0.0,214.94,57.97,0.0,0.0,50.42,43.54,0.0,4.0,0.0,78.58,16.33,25.32,168.32,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,11.25
0,1995,73.45,57.96,0.0,177.42,41.95,39.47,10.97,212.84,0.0,45.91,25.98,70.16,55.86,80.44,235.02,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,28.75
0,1984,0.0,15.98,29.99,22.98,34.99,19.49,86.91,25.98,4.49,0.0,0.0,20.79,22.81,32.47,139.96,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,35.0
0,1998,0.0,0.0,0.0,24.99,0.0,4.99,0.0,35.47,0.0,0.0,0.0,5.0,6.74,10.91,5.0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,23.75
2,1995,0.0,49.98,0.0,114.9,0.0,19.44,115.55,26.41,1.99,0.0,0.0,32.98,27.23,46.38,110.45,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,35.0
1,1975,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.99,0.0,0.0,1.33,1.0,17.5,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,35.0
0,1984,0.0,41.44,0.0,103.42,7.49,30.44,0.0,121.36,22.48,0.0,23.98,30.47,33.04,47.53,133.82,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,16.25
0,1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.98,0.0,0.0,0.0,0.0,4.0,4.0,-7.22,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,4.0
1,1993,0.0,51.98,0.0,122.43,34.99,99.43,19.0,112.95,4.99,14.2,7.99,41.88,43.09,65.63,137.96,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,35.0
0,1995,0.0,0.0,0.0,25.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,4.33,-9.54,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,26.25
1,1998,19.99,25.99,0.0,298.81,20.98,33.98,64.94,55.46,68.46,0.0,20.98,73.15,40.64,90.44,279.6,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,28.75
1,1970,235.35,286.88,307.36,547.21,174.04,120.42,0.0,212.31,0.0,0.0,24.99,310.17,59.62,175.66,544.29,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,21.25
2,1981,14.99,151.46,19.49,129.45,14.99,103.93,0.0,24.96,2.0,0.0,0.0,66.08,21.82,45.89,169.52,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,26.25
0,1993,31.98,0.0,104.98,0.0,19.48,0.0,0.0,0.0,0.0,0.0,0.0,31.29,0.0,3.25,11.09,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,13.75
3,1987,0.0,1.03,29.99,20.99,79.47,10.47,0.0,25.98,0.0,6.98,0.0,26.3,7.24,22.82,100.12,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,35.0
0,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,0.0,0.0,0.0,0.0,4.99,4.99,15.74,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,18.75
